"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"191","gw103f215","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"192","lt80x142","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"193","lt81x143","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"194","lt82x144","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"195","lt83x145","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"196","lt84x146","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"197","lt85x147","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"198","lt86x148","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"199","lt87x149","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"200","lt88x150","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"201","lt89x151","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"202","lt90x152","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"203","lt91x153","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"204","lt92x154","Site1","3xTG-AD","3xTG-AD","Male","10","dPAL Acquisition 2",1
"205","lw65x127","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"206","lw66x128","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"207","lw67x129","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"208","lw68x130","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"209","lw69x131","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"210","lw70x132","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"211","lw71x133","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"212","lw72x134","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"213","lw73x135","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"214","lw74x136","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"215","lw75x137","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"216","lw76x138","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"217","lw77x139","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"218","lw78x140","Site1","3xTG-AD","B6129SF2/J","Male","10","dPAL Acquisition 2",1
"219","gt159a354","Site2","APP-PS1","APPPS1","Female","10","dPAL Acquisition 3",1
"220","gt159a355","Site2","APP-PS1","APPPS1","Female","10","dPAL Acquisition 3",1
"221","gt160a358","Site2","APP-PS1","APPPS1","Female","10","dPAL Acquisition 3",1
"222","gt160a359","Site2","APP-PS1","APPPS1","Female","10","dPAL Acquisition 3",1
"223","gt160a361","Site2","APP-PS1","APPPS1","Female","10","dPAL Acquisition 3",1
"224","gw154a338","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"225","gw154a339","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"226","gw155a343","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"227","gw155a344","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"228","gw155a345","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"229","gw156a346","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"230","gw156a347","Site2","APP-PS1","C57BL6","Female","10","dPAL Acquisition 3",1
"231","lt367a429","Site1","APP-PS1","APPPS1","Male","10","dPAL Acquisition 3",1
"232","lt368a430","Site1","APP-PS1","APPPS1","Male","10","dPAL Acquisition 3",1
"233","lt370a432","Site1","APP-PS1","APPPS1","Male","10","dPAL Acquisition 3",1
"234","lt374a436","Site1","APP-PS1","APPPS1","Male","10","dPAL Acquisition 3",1
"235","lt375a437","Site1","APP-PS1","APPPS1","Male","10","dPAL Acquisition 3",1
"236","lt377a439","Site1","APP-PS1","APPPS1","Male","10","dPAL Acquisition 3",1
"237","lw353a415","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
