"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"322","gt105f221","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"323","gt105f222","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"324","gt105f223","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"325","gt106f224","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"326","gt106f225","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"327","gt106f227","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"328","gt107f228","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"329","gt107f229","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"330","gt107f230","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"331","gt107f231","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"332","gt157a348","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"333","gt157a349","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"334","gt157a350","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"335","gt157a351","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"336","gt158a352","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"337","gt159a354","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"338","gt159a355","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"339","gt159a356","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"340","gt159a357","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"341","gt160a358","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"342","gt160a359","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"343","gt160a360","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"344","gt160a361","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"345","gt161a362","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"346","gt161a363","Site2","APP-PS1","APPPS1","Female","4","Phase III",1
"347","gw77x159","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase III",1
"348","gw77x160","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase III",1
"349","gw77x161","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase III",1
