"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"78","LON5C5FAD10MF","lw41f082","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,2050.178,50,69.45,69.1,65.7,69.95,72.1,35,32.5,38.333,41.25,36
"79","LON5C5FAD10MF","lw42f084","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-27,NA,1744.2635,50,67.5,73.35,73.85,72.05,66.8,35,52.5,55,55,54
"80","LON5C5FAD10MF","lw45f089","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-12-16,NA,3600,40.5,73.35,64.15,68.45,58.95,62.5,45,45,53.3335,52.8125,51.02
"81","LON5C5FAD10MF","lw45f090","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-15,NA,2665.705,43.5,53.55,67.5,66.35,60.25,67.5,25,22.5,25,27.466,20
"82","LON5C5FAD10MF","lw46f092","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-24,NA,1699.0335,50,77.8,67.2,57.25,60.45,59.7,10,10,6.6665,12.5,13
"83","GUE5C5FAD10MF","gw01f002","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-03,NA,2902.2725,49.5,55,68.15,72.8,76.15,76.8,35,45,43.3335,47.5,46.51
"84","GUE5C5FAD10MF","gw02f003","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,1635.757,50,69.45,64.6,64.15,61.8,64.9,5,17.5,23.3335,26.25,25
"85","GUE5C5FAD10MF","gw03f005","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-03,NA,1871.4545,50,58.35,65.15,66.25,65.05,66.65,40,42.5,36.6665,36.25,31
"86","GUE5C5FAD10MF","gw03f006","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,3183.743,48.5,72.9,66.35,67.5,55.55,53.8,30,47.5,58.333,60,55.851
"87","GUE5C5FAD10MF","gw04f007","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,1708.725,50,75,80.85,77.4,74.25,74.75,50,45,51.667,47.5,49
"88","GUE5C5FAD10MF","gw04f008","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-19,NA,1605.2895,50,39.3,63.4,73.9,73.05,71.85,25,25,23.333,21.25,22
"89","GUE5C5FAD10MF","gw05f009","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,2210.7865,50,90,81.15,74.3,70.4,72.8,40,42.5,43.3335,41.25,38
"90","GUE5C5FAD10MF","gw05f010","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,2071.6655,50,81.95,78.2,78.55,75.9,72.35,15,7.5,6.667,12.5,14
"91","LON5CAPP10MF","lw185a247","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-09,NA,1640.3705,50,92.85,87.5,83.75,81.4,81.15,35,40,38.3335,46.25,47
"92","LON5CAPP10MF","lw186a248","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1448.312,50,68.55,75.95,76.1,81.3,76.25,15,27.5,45,41.25,42
"93","LON5CAPP10MF","lw189a251","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-03,NA,1402.4865,50,73.35,73.35,77.5,76.45,82.05,60,52.5,48.3335,46.25,39
"94","LON5CAPP10MF","lw190a252","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-09,NA,1588.5515,50,100,88.9,89.3,87.5,87.05,60,60,61.6665,62.5,63
"95","LON5CAPP10MF","lw193a255","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1581.387,50,70.85,78.45,76.35,78.5,78,50,55,61.667,58.75,60
"96","LON5CAPP10MF","lw194a256","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-03,NA,1393.6085,50,66.7,73,76.4,76.15,73.25,40,35,36.6665,37.5,33
"97","LON5CAPP10MF","lw198a260","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1292.7755,50,70,81.65,79.75,77.9,76.95,20,12.5,18.333,21.25,26
"98","LON5CAPP10MF","lw201a263","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-18,NA,1707.913,50,53.35,62.8,59.1,59.05,56.45,45,52.5,51.6665,55,52
"99","LON5CAPP10MF","lw202a264","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1965.9335,50,76.2,80.85,64.85,64.15,62.35,20,22.5,25,30,30
"100","LON5CAPP10MF","lw206a268","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1405.3125,50,76.4,82.1,86.55,86.4,86.8,35,30,35,32.5,30
"101","LON5CAPP10MF","lw209a271","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-05,NA,1362.7925,50,91.65,84.3,83.15,80.1,78.35,50,40,40,45,44
"102","LON5CAPP10MF","lw210a272","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-18,NA,1376.6955,50,50,70.85,75,77.8,73.8,70,57.5,53.333,51.25,48
"103","LON5CAPP10MF","lw213a275","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-18,NA,1755.31,50,91.65,83.4,80.85,85.05,82.3,30,30,26.667,28.75,30
"104","GUE5CAPP10MF","gw108a232","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-05,NA,1963.3045,50,58.35,78.15,67.9,72.05,71.85,50,30,26.6665,23.75,23
"105","GUE5CAPP10MF","gw108a233","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-10,NA,1608.5535,50,90,70.6,71.2,72.4,69.05,40,35,28.3335,26.25,28
"106","GUE5CAPP10MF","gw108a234","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,2459.645,50,36.65,33.3,46.45,51.2,51.55,60,62.5,61.667,56.25,50
"107","GUE5CAPP10MF","gw108a235","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-29,NA,1943.64,50,41.65,53.1,52.65,58.9,61.45,40,30,31.6665,35,35
"108","GUE5CAPP10MF","gw128a237","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-10,NA,1476.7845,50,70.85,84.45,85.3,88.45,87.65,65,52.5,43.333,35,36
"109","GUE5CAPP10MF","gw129a238","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,1797.99,50,68.75,66.65,55.7,64.55,67.15,30,30,26.667,25,26
"110","GUE5CAPP10MF","gw129a239","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-29,NA,1206.3135,50,93.75,84.75,82.15,85.1,85.4,15,15,15,15,15
"111","GUE5CAPP10MF","gw130a241","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-10,NA,1806.7805,50,93.75,78.15,82.3,84.3,82.35,35,40,36.667,35,38
"112","GUE5CAPP10MF","gw131a242","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,2654.8355,50,16.7,48.7,50,46.8,50.7,40,37.5,36.667,41.25,45
"113","GUE5CAPP10MF","gw131a243","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-29,NA,2867.1805,50,77.35,86.6,85.15,81,81.35,35,25,31.6665,33.75,36
"114","GUE5CAPP10MF","gw132a244","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-05,NA,1452.77,50,64.6,69.05,65.7,64,65.95,30,27.5,31.667,33.75,40
"115","GUE5CAPP10MF","gw133a246","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,2330.0025,50,53.55,63.55,62.55,59.8,60.15,35,30,23.3335,25,27
"116","LON5C3XTG10MM","lt03x009","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-09-30,NA,3125.083,50,50,50,45.5,47.4,48,60,70,63.333,52.5,50
"117","LON5C3XTG10MM","lt03x010","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-06,NA,3600,5,100,NA,NA,NA,NA,60,NA,NA,NA,NA
"118","LON5C3XTG10MM","lt04x011","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-15,NA,1780.849,50,100,85.45,85.25,80.85,78.65,55,32.5,30,27.5,25
"119","LON5C3XTG10MM","lt07x013","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-09-29,NA,2304.0815,50,29.15,47.2,54.1,56.05,52.55,65,47.5,38.3335,35,37
"120","LON5C3XTG10MM","lt07x014","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-04,NA,2164.0045,50,45,52.2,51.15,50,52.9,55,52.5,45,47.5,47
"121","LON5C3XTG10MM","lt08x015","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-14,NA,3600,20,62.5,70,NA,NA,NA,20,50,NA,NA,NA
"122","LON5C3XTG10MM","lt08x016","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-21,NA,3600,10,20,NA,NA,NA,NA,50,NA,NA,NA,NA
"123","LON5C3XTG10MM","lt11x021","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-09-29,NA,2183.4865,50,75.7,83.75,79.6,79.7,76.8,40,37.5,35,32.5,35
"124","LON5C3XTG10MM","lt11x022","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-04,NA,3600.001,34,40,67.5,70.6,61.9,61.9,65,45,38.974,47.5,50
"125","LON5C3XTG10MM","lt12x024","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-22,NA,1297.803,50,66.65,77.5,79.15,77.9,76.05,10,12.5,13.3335,15,21
"126","GUE5C3XTG10MM","gt07x013","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-07,NA,2434.8015,50,85.7,80.55,83.3,79.35,82.25,55,62.5,60,56.25,55
"127","GUE5C3XTG10MM","gt09x015","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-20,NA,2092.716,50,75,63.1,61.8,59.15,60.15,35,20,29.9995,32.5,30
"128","GUE5C3XTG10MM","gt11x018","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-17,NA,2402.383,50,60,80,62.5,57.9,59.1,50,50,46.666,52.5,56
"129","GUE5C3XTG10MM","gt12x019","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-01,NA,1525.5015,50,77.1,71.25,55.45,57.5,55,45,42.5,38.333,42.5,41
"130","GUE5C3XTG10MM","gt13x020","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-07,NA,1938.98,50,76.2,80.85,81.95,83.15,84.6,50,32.5,34.9995,33.75,29
"131","GUE5C3XTG10MM","gt14x021","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-18,NA,1643.8735,50,63.35,69.2,71.75,73.35,72.95,45,35,41.6665,38.75,41
"132","GUE5C3XTG10MM","gt15x022","Site2","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-01,NA,1056.9505,50,66.95,75.95,75.6,75,75.5,25,27.5,25,25,23
