"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Day"
"219","gw09x013","Site2","3xTG-AD","B6129SF2/J","Male","4","2",12
"220","gw09x014","Site2","3xTG-AD","B6129SF2/J","Male","4","2",46
"221","gw10x015","Site2","3xTG-AD","B6129SF2/J","Male","4","2",6
"222","gw11x016","Site2","3xTG-AD","B6129SF2/J","Male","4","2",9
"223","gw12x017","Site2","3xTG-AD","B6129SF2/J","Male","4","2",13
"224","gw13x018","Site2","3xTG-AD","B6129SF2/J","Male","4","2",28
"225","gw14x019","Site2","3xTG-AD","B6129SF2/J","Male","4","2",5
"226","gw15x020","Site2","3xTG-AD","B6129SF2/J","Male","4","2",6
"227","gw16x021","Site2","3xTG-AD","B6129SF2/J","Male","4","2",6
"228","gw18x023","Site2","3xTG-AD","B6129SF2/J","Male","4","2",3
"229","lw25f049","Site1","5xFAD","B6SJLF1/J","Male","4","2",9
"230","lw25f050","Site1","5xFAD","B6SJLF1/J","Male","4","2",9
"231","lw26f051","Site1","5xFAD","B6SJLF1/J","Male","4","2",4
"232","lw26f052","Site1","5xFAD","B6SJLF1/J","Male","4","2",16
"233","lw29f057","Site1","5xFAD","B6SJLF1/J","Male","4","2",6
"234","lw29f058","Site1","5xFAD","B6SJLF1/J","Male","4","2",4
"235","lw30f059","Site1","5xFAD","B6SJLF1/J","Male","4","2",8
"236","lw30f060","Site1","5xFAD","B6SJLF1/J","Male","4","2",19
"237","lw33f065","Site1","5xFAD","B6SJLF1/J","Male","4","2",7
"238","lw33f066","Site1","5xFAD","B6SJLF1/J","Male","4","2",4
"239","lw34f067","Site1","5xFAD","B6SJLF1/J","Male","4","2",3
"240","lw34f068","Site1","5xFAD","B6SJLF1/J","Male","4","2",11
"241","gw07f013","Site2","5xFAD","B6SJLF1/J","Male","4","2",22
"242","gw07f014","Site2","5xFAD","B6SJLF1/J","Male","4","2",6
"243","gw09f017","Site2","5xFAD","B6SJLF1/J","Male","4","2",8
"244","gw09f018","Site2","5xFAD","B6SJLF1/J","Male","4","2",21
"245","gw10f019","Site2","5xFAD","B6SJLF1/J","Male","4","2",33
"246","gw10f020","Site2","5xFAD","B6SJLF1/J","Male","4","2",3
"247","gw11f022","Site2","5xFAD","B6SJLF1/J","Male","4","2",12
"248","gw12f023","Site2","5xFAD","B6SJLF1/J","Male","4","2",29
"249","lw169a231","Site1","APP-PS1","C57BL6","Male","4","2",15
"250","lw170a232","Site1","APP-PS1","C57BL6","Male","4","2",3
"251","lw173a235","Site1","APP-PS1","C57BL6","Male","4","2",15
"252","lw174a236","Site1","APP-PS1","C57BL6","Male","4","2",8
"253","lw177a239","Site1","APP-PS1","C57BL6","Male","4","2",10
"254","lw178a240","Site1","APP-PS1","C57BL6","Male","4","2",13
"255","lw181a243","Site1","APP-PS1","C57BL6","Male","4","2",19
"256","lw182a244","Site1","APP-PS1","C57BL6","Male","4","2",6
"257","lw224a286","Site1","APP-PS1","C57BL6","Male","4","2",5
"258","lw227a289","Site1","APP-PS1","C57BL6","Male","4","2",5
"259","lw228a290","Site1","APP-PS1","C57BL6","Male","4","2",3
"260","lw231a293","Site1","APP-PS1","C57BL6","Male","4","2",11
"261","gw135a266","Site2","APP-PS1","C57BL6","Male","4","2",16
"262","gw135a267","Site2","APP-PS1","C57BL6","Male","4","2",13
"263","gw136a268","Site2","APP-PS1","C57BL6","Male","4","2",3
"264","gw137a270","Site2","APP-PS1","C57BL6","Male","4","2",7
"265","gw137a271","Site2","APP-PS1","C57BL6","Male","4","2",3
"266","gw138a272","Site2","APP-PS1","C57BL6","Male","4","2",20
"267","gw138a273","Site2","APP-PS1","C57BL6","Male","4","2",8
"268","gw138a274","Site2","APP-PS1","C57BL6","Male","4","2",9
"269","gw139a275","Site2","APP-PS1","C57BL6","Male","4","2",24
"270","gw140a276","Site2","APP-PS1","C57BL6","Male","4","2",1
"271","gw140a277","Site2","APP-PS1","C57BL6","Male","4","2",5
"272","gw141a278","Site2","APP-PS1","C57BL6","Male","4","2",9
"273","gw141a279","Site2","APP-PS1","C57BL6","Male","4","2",11
"274","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","4","4",11
"275","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","4","4",12
"276","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","4","4",5
"277","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","4","4",3
"278","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","4","4",5
"279","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","4","4",9
"280","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","4","4",6
"281","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","4","4",4
"282","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","4","4",16
"283","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","4","4",10
"284","gt01x001","Site2","3xTG-AD","3xTG-AD","Female","4","4",17
"285","gt02x003","Site2","3xTG-AD","3xTG-AD","Female","4","4",9
"286","gt02x004","Site2","3xTG-AD","3xTG-AD","Female","4","4",3
"287","gt03x005","Site2","3xTG-AD","3xTG-AD","Female","4","4",6
"288","gt03x006","Site2","3xTG-AD","3xTG-AD","Female","4","4",6
