 Animal ID, Site, Mouse strain, Genotype, Gender,SessionType
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f020, UOG, 5FAD, w,M,2
 gw10f020, UOG, 5FAD, w,M,2
 gw10f020, UOG, 5FAD, w,M,2
 gw10x015, UOG, 3XTG, w,M,2
 gw10x015, UOG, 3XTG, w,M,2
 gw10x015, UOG, 3XTG, w,M,2
 gw10x015, UOG, 3XTG, w,M,2
 gw10x015, UOG, 3XTG, w,M,2
 gw10x015, UOG, 3XTG, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f021, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
